,topic,term,beta
1,1,719,0.015339022
2,1,291,0.012317014
3,1,947,0.011938734
4,1,1050,0.010391878
5,1,743,0.009384723
6,1,1064,0.009328744
7,1,993,0.008836689
8,1,149,0.008139455
9,1,742,0.007816008
10,1,832,0.007592888
11,2,1121,0.058270665
12,2,399,0.029504164
13,2,1109,0.026516859
14,2,1210,0.025095637
15,2,1211,0.023373409
16,2,1223,0.020557078
17,2,1218,0.017353379
18,2,1127,0.012814803
19,2,1224,0.012145297
20,2,1073,0.010988038
21,3,843,0.022035295
22,3,873,0.019278478
23,3,834,0.016632518
24,3,1,0.016288282
25,3,1038,0.01452349
26,3,710,0.012751225
27,3,716,0.012107096
28,3,881,0.011744166
29,3,748,0.011551778
30,3,844,0.011406231
31,4,1140,0.05367926
32,4,1138,0.033179758
33,4,1137,0.031772372
34,4,1136,0.031370307
35,4,1139,0.026077288
36,4,1135,0.024935512
37,4,1144,0.023797258
38,4,1132,0.022675021
39,4,1147,0.020510142
40,4,1146,0.019899735
41,5,1170,0.019726068
42,5,1186,0.012730369
43,5,855,0.012059029
44,5,721,0.011924398
45,5,1176,0.010407643
46,5,1195,0.009260318
47,5,1200,0.008995514
48,5,1204,0.008312219
49,5,1188,0.008282638
50,5,1163,0.008199588
51,6,1044,0.049120744
52,6,720,0.021103547
53,6,1067,0.020332846
54,6,1072,0.020325357
55,6,1093,0.016201518
56,6,858,0.016069826
57,6,1046,0.015684601
58,6,1042,0.014392288
59,6,1068,0.012431727
60,6,856,0.011372036
61,7,1130,0.087587458
62,7,1142,0.075680127
63,7,1133,0.047583495
64,7,1134,0.032558273
65,7,860,0.029867965
66,7,867,0.029054402
67,7,856,0.02682568
68,7,847,0.015002076
69,7,815,0.014985137
70,7,1049,0.013634487
71,8,1016,0.107091506
72,8,1015,0.009550015
73,8,1011,0.008959734
74,8,613,0.008364887
75,8,754,0.007486635
76,8,709,0.007457446
77,8,611,0.007279597
78,8,612,0.007139009
79,8,610,0.007101402
80,8,617,0.007017006
